author,video_url,title,caption,create_time_unix,create_date_utc,shares,comments,likes,subs,views_per_sub,num_views
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7585913305034673415,,,,,,,,573700,,260.8K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7585913032253951239,,,,,,,,573700,,129.5K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7585911834515983623,,,,,,,,573700,,36.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7585909296379120904,,,,,,,,573700,,29.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7584849127276678407,,,,,,,,573700,,569K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7584066722001472786,,,,,,,,573700,,177.9K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7584066636773149960,,,,,,,,573700,,7.2M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7583723123451858183,,,,,,,,573700,,747.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7583317990230347026,,,,,,,,573700,,1.9M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7581356389411458322,,,,,,,,573700,,1.5M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7580713771908205842,,,,,,,,573700,,951.9K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7580555082136161554,,,,,,,,573700,,823K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7580351898499288328,,,,,,,,573700,,697K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7580324279099608338,,,,,,,,573700,,315.3K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7579864482474691847,,,,,,,,573700,,71.7K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7579646525765160210,,,,,,,,573700,,292K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7579566643823512839,,,,,,,,573700,,1.1M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7577427492064021778,,,,,,,,573700,,468.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7577412831021190408,,,,,,,,573700,,1.6M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7576510381061983506,,,,,,,,573700,,427.8K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7576272362266512658,,,,,,,,573700,,314.7K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7575437582582975752,,,,,,,,573700,,317.7K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7575388482843970834,,,,,,,,573700,,519K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7574066123881155847,,,,,,,,573700,,149.3K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7574045244665138440,,,,,,,,573700,,1.9M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7573975136131370247,,,,,,,,573700,,90.5K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7573670651014270215,,,,,,,,573700,,234K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7573670195936447751,,,,,,,,573700,,39.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7573664827210583314,,,,,,,,573700,,1.1M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7572541491503992082,,,,,,,,573700,,1.1M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7572541448663452936,,,,,,,,573700,,544.6K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7572191451170360584,,,,,,,,573700,,180.4K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7572190566503566610,,,,,,,,573700,,2.1M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7571773657572314386,,,,,,,,573700,,692.4K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7571473321716354322,,,,,,,,573700,,109.5K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7571120581769252103,,,,,,,,573700,,441.2K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/photo/7571076768535170322,,,,,,,,573700,,89.2K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7570709644151164168,,,,,,,,573700,,1.1M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7570347367099141394,,,,,,,,573700,,470.4K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7569972853538344199,,,,,,,,573700,,443.4K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7569970400868846855,,,,,,,,573700,,122.7K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7569596250698370322,,,,,,,,573700,,2.9M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7569594705797860615,,,,,,,,573700,,426.5K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7569265793913916690,,,,,,,,573700,,582.2K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7569143700819938567,,,,,,,,573700,,188.7K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7568369993285471495,,,,,,,,573700,,1.3M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7567371521736396039,,,,,,,,573700,,589.2K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7566880917608860946,,,,,,,,573700,,1.7M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7566870951661423880,,,,,,,,573700,,57.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7566870272913984776,,,,,,,,573700,,78.1K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7565173148216347922,,,,,,,,573700,,1.8M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7564352660401327368,,,,,,,,573700,,970.7K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7563687660280188178,,,,,,,,573700,,1.5M
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7563675334453808402,,,,,,,,573700,,385.2K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7562177380119334162,,,,,,,,573700,,615.3K
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7562175814456921352,,,,,,,,573700,,53.3K
